MyBusiness;;;;;;
"
                    Codice
                  ";"
                    Tipo
                  ";"
                    Prodotto
                  ";"
                    Categoria
                  ";"
                    PV Medio
                  ";"
                    Resa
                  ";"
                    Ub.
                  "
DESSERT_36;Ricetta;TORTA CAPRESE NEW 11/24;DESSERT 🍰;0;1;pz
DESSERT_14;Ricetta;TORTA CAPRESE;ZZZ ARCHIVIO FOOD;7;1;pz
PREZZO_TOO_GOOD_TO_GO;Prodotto;TOO GOOD TO GO;PROMO;19,95;1;pz
BIBITE_7;Ricetta;TONICA;BIBITE 🥤;3,8;1;pz
TONDA_4;Ricetta;TONDA MORTADELLA E BELLA LODI;ZZZ ARCHIVIO FOOD;0;1;pz
TONDA_2;Ricetta;TONDA MARGHERITA;ZZZ ARCHIVIO FOOD;0;1;pz
TONDA_3;Ricetta;TONDA FUNGHI E FIORDILATTE;ZZZ ARCHIVIO FOOD;0;1;pz
TONDA_1;Ricetta;TONDA CRUDO E PICCADILLY;ZZZ ARCHIVIO FOOD;0;1;pz
EVENTI_16;Ricetta;TOAST;BAR;5;1;pz
BIBITE_5;Ricetta;THE PESCA;BIBITE 🥤;3,8;1;pz
BIBITE_6;Ricetta;THE LIMONE;BIBITE 🥤;4;1;pz
CAFFE_22;Ricetta;THE CALDO;CAFFE' ☕;4;1;pz
FT1;Prodotto;Testo articolo;ZZZ ARCHIVIO FOOD;0;1;pz
COCKTAILS_18;Ricetta;TEQUILA SALE E LIMONE;COCKTAILS 🍸;3;1;pz
COCKTAILS_19;Ricetta;TEQUILA BUM BUM;COCKTAILS 🍸;3;1;pz
VARIANTI BEVERAGE_12;Prodotto;TEMPERATURA AMBIENTE;BIBITE 🥤;0;1;pz
PREMI_LOYALTY_2;Ricetta;TELO PALESTRA EYE SPORT;MERCHANDISING;0;1;pz
MERCHANDISING_10;Prodotto;TELO MARE DM;ZZZ ARCHIVIO FOOD;0;1;pz
VARIANTI CAFFE'_6;Prodotto;TAZZA PICCOLA;CAFFE' ☕;0;1;pz
MERCHANDISING_31;Ricetta;TAZZA MUG PULLY;MERCHANDISING;11,61;1;pz
VARIANTI CAFFE'_5;Prodotto;TAZZA GRANDE;CAFFE' ☕;0;1;pz
STARTER_12;Prodotto;TARTARE ZUCCHINE E RASPADURA;ZZZ ARCHIVIO FOOD;0;1;pz
STARTER_56;Ricetta;TARTARE ZUCCHINE E BELLA LODI;ZZZ ARCHIVIO FOOD;8,8;1;pz
BRACE_30;Ricetta;TARTARE ZUCCA E FUNGHI;ZZZ ARCHIVIO FOOD;15,8;1;pz
STARTER_14;Ricetta;TARTARE STRACCIATELLA E PICCADILLY;ZZZ ARCHIVIO FOOD;0;1;pz
BRACE_23;Ricetta;TARTARE STRACCIATELLA AL TARTUFO E FUNGHI;ZZZ ARCHIVIO FOOD;0;1;pz
STARTER_64;Ricetta;TARTARE PISTACCHIO E BELLA LODI;STARTER;15,6;1;pz
STARTER_60;Ricetta;TARTARE FUNGHI;ZZZ ARCHIVIO FOOD;7,8;1;pz
BURGER_58;Ricetta;TARTARE E STRACCIATELLA BURGER;ZZZ ARCHIVIO FOOD;12,4;1;pz
BURGER_78;Ricetta;TARTARE E BELLA LODI BURGER;BURGER 🍔;13,8;1;pz
BURGER_41;Ricetta;TARTARE E BELLA LODI;ZZZ ARCHIVIO FOOD;0;1;pz
BRACE_29;Ricetta;TARTARE CREMA DI GRANA E VERDURE;ZZZ ARCHIVIO FOOD;12,6;1;pz
STARTER_32;Ricetta;TARTARE ALLA CARBONARA;ZZZ ARCHIVIO FOOD;9,8;1;pz
STARTER_31;Ricetta;TARTARE AL TARTUFO;ZZZ ARCHIVIO FOOD;9,8;1;pz
COCKTAILS_47;Ricetta;TANQUERAY TONIC;ZZZ ARCHIVIO BEVERAGE;10;1;pz
COCKTAILS_46;Ricetta;TANQUERAY LEMON;ZZZ ARCHIVIO BEVERAGE;10;1;pz
GELATI_41;Prodotto;TANDEM;BAR;3;1;pz
AMARI_12;Ricetta;TALISKER;AMARI;7;1;pz
STARTER_67;Ricetta;TAGLIERE SAN DANIELE;STARTER;36;1;pz
PRANZO_48;Ricetta;TAGLIATELLE ZUCCA E FUNGHI;ZZZ ARCHIVIO FOOD;9;1;pz
PRANZO_50;Ricetta;TAGLIATELLE VERDURE E POMODORO;ZZZ ARCHIVIO FOOD;7,2;1;pz
PRANZO_68;Ricetta;TAGLIATELLE POMODORO E RASPADURA;MENU PRANZO;9;1;pz
PRANZO_54;Ricetta;TAGLIATELLE POMODORO E OLIVE;ZZZ ARCHIVIO FOOD;9;1;pz
PRANZO_65;Ricetta;TAGLIATELLE POMODORO E FUNGHI;ZZZ ARCHIVIO FOOD;9;1;pz
PASTE_28;Ricetta;TAGLIATELLE POLPO E OLIVE;PASTE;63,6;1;pz
PRIMI_CREMONINI_5;Ricetta;TAGLIATELLE PICADILLY E RASPADURA;PASTE;0;1;pz
PRIMI_CREMONINI_3;Ricetta;TAGLIATELLE PERCORINO E MENTA;PASTE;0;1;pz
PRIMI_CREMONINI_4;Ricetta;TAGLIATELLE 'NDUJA E MELANZANE;PASTE;0;1;pz
PASTE_8 ;Ricetta;TAGLIATELLE GRANA, FUNGHI E TARTUFO;ZZZ ARCHIVIO FOOD;14,2;1;pz
PASTE_8;Ricetta;TAGLIATELLE GRANA, FUNGHI E TARTUFO;ZZZ ARCHIVIO FOOD;14,2;1;pz
PRANZO_41;Ricetta;TAGLIATELLE GRANA E VERDURE;ZZZ ARCHIVIO FOOD;9;1;pz
PRANZO_31;Ricetta;TAGLIATELLE GRANA E FUNGHI PRANZO;ZZZ ARCHIVIO FOOD;9;1;pz
PRIMI_CREMONINI_6;Ricetta;TAGLIATELLE CREMA DI ZUCCHINE E RASPADURA;PASTE;0;1;pz
PASTE_10;Ricetta;TAGLIATELLE AL RAGU’1;PASTE;12,4;1;pz
PASTE_10 ;Ricetta;TAGLIATELLE AL RAGU’;PASTE;12,4;1;pz
PASTE_14;Ricetta;TAGLIATELLE AL POLPO ROSSO;ZZZ ARCHIVIO FOOD;13,8;1;pz
PRIMI_CREMONINI_7;Ricetta;TAGLIATELLE AL LIMONE;PASTE;0;1;pz
PASTE_23;Ricetta;TAGLIATELLA CARBONARA;PASTE;13,9;1;pz
PASTE_24;Ricetta;TAGLIATELLA AMATRICIANA;PASTE;12,4;1;pz
BRACE_7;Ricetta;TAGLIATA SPECIALE;ZZZ ARCHIVIO FOOD;17,8;1;pz
STARTER_55;Ricetta;TAGLIATA DI POLLO PANATO;STARTER;7,2;1;pz
BRACE_43;Ricetta;TAGLIATA DI POLLO BBQ;BRACE 🔥 🥩;11,84;1;pz
PRANZO_38;Ricetta;TAGLIATA DI POLLO ALLA BRACE PRANZO;MENU PRANZO;7,8;1;pz
BRACE_27;Ricetta;TAGLIATA DI POLLO;BRACE 🔥 🥩;13,8;1;pz
SECONDI_CREMONINI_1;Ricetta;TAGLIATA DI MANZO;MINI BRACE;0;1;pz
BURGER_24 ;Ricetta;SUPREMA E VERDURE GRIGLIATE;ZZZ ARCHIVIO FOOD;12,4;1;pz
BURGER_24;Ricetta;SUPREMA E VERDURE GRIGLIATE;ZZZ ARCHIVIO FOOD;12,4;1;pz
BRACE_4;Ricetta;SUPREMA DI POLLO;ZZZ ARCHIVIO FOOD;13,8;1;pz
BURGER_70;Ricetta;SUPER PORK;ZZZ ARCHIVIO FOOD;6,5;1;pz
BURGER_20;Ricetta;SUPER CLASSICO BURGER;ZERO SCUSE;9,8;1;pz
BURGER_81;Ricetta;SUPER CLASSICO BEACH;BURGER;11,2;1;pz
BURGER_30;Ricetta;SUPER BURGER;ZZZ ARCHIVIO FOOD;10,8;1;pz
BOTTIGLIE_15;Ricetta;SUPER BLANCHE BOTTIGLIA;BOTTIGLIE 🍾;0;1;pz
BURGER_76;Ricetta;SUPER BBQ;BURGER 🍔;0;1;pz
BOTTIGLIE_6;Ricetta;SUMMER IPA BOTTIGLIA;BOTTIGLIE 🍾;3;1;pz
SUCCHI_1;Prodotto;SUCCO;BIBITE;8,4;1;pz
INSALATE_13;Ricetta;STRACCETTI DI POLLO E POMODORI;ZZZ ARCHIVIO FOOD;10,8;1;pz
BURGER_66;Ricetta;STRA BURGER;ZERO SCUSE;6,5;1;pz
GELATI_21;Prodotto;STECCO UNICORNO;SOFT DRINK;1,5;1;pz
GELATI_24;Ricetta;STECCO POKEMON;GELATI;2,2;1;pz
AMARI_17;Ricetta;ST. JAMES;AMARI;5;1;pz
COCKTAILS_61;Ricetta;SPRITZ SPILL;COCKTAILS 🍸;0;1;pz
COCKTAILS_36;Ricetta;SPRITZ HUGO;COCKTAILS 🍸;7;1;pz
COCKTAILS_2;Ricetta;SPRITZ CAMPARI;COCKTAILS 🍸;7;1;pz
COCKTAILS_1;Ricetta;SPRITZ APEROL;COCKTAILS 🍸;7;1;pz
BIBITE_30;Ricetta;SPRITE PET;BIBITE 🥤;4;1;pz
COLAZIONE_2;Prodotto;SPREMUTA;CAFFE' ☕;3,5;1;pz
SPILLATORE_LOYALTY_COMPLEANNO;Prodotto;SPILLATORE LOYALTY;Loyalty;24;1;pz
SPILLATORI_6;Ricetta;SPILL ZINGI ALE;SPILLATORI;26;1;pz
SPILLATORI_1;Ricetta;SPILL ULTRA PILS;SPILLATORI;26;1;pz
SPILLATORI_13;Ricetta;SPILL SUPER CHIARA;SPILLATORI;28;1;pz
SPILLATORI_18;Ricetta;SPILL SUPER BLANCHE;SPILLATORI;0;1;pz
SPILLATORI_3;Ricetta;SPILL SUMMER IPA;SPILLATORI;0;1;pz
SPILLATORI_20;Ricetta;SPILL SUMMER ALCOOL FREE;SPILLATORI;27;1;pz
SPILLATORI_9;Ricetta;SPILL SEXY IPA;SPILLATORI;28;1;pz
SPILLATORI_16;Ricetta;SPILL REGINA;SPILLATORI;26;1;pz
SPILLATORI_14;Ricetta;SPILL 'O SOLE MIO;SPILLATORI;26;1;pz
SPILLATORI_17;Ricetta;SPILL MAGNUS;SPILLATORI;26;1;pz
SPILLATORI_2;Ricetta;SPILL IPER WEISS;SPILLATORI;26;1;pz
SPILLATORI_11;Ricetta;SPILL IMPERIALE;SPILLATORI;26;1;pz
SPILLATORI_5;Ricetta;SPILL HONEY IPA;SPILLATORI;26;1;pz
SPILLATORI_4;Ricetta;SPILL EXTRA BITTER;SPILLATORI;26;1;pz
SPILLATORI_8;Ricetta;SPILL COCOA IPA;SPILLATORI;26;1;pz
SPILLATORI_19;Ricetta;SPILL CHIARA ALCOOL FREE;SPILLATORI;27;1;pz
SPILLATORI_12;Ricetta;SPILL BLACK STOUT;SPILLATORI;0;1;pz
